date,volume,open,high,low,close,adj close
2022-12-30,680800,174.8000030517578,174.8000030517578,172.0800018310547,173.50999450683594,169.15936279296875
2022-12-29,454700,175.6999969482422,176.47999572753906,174.92999267578125,175.24000549316406,170.84600830078125
2022-12-28,428500,177.2899932861328,178.36000061035156,175.11000061035156,175.19000244140625,170.79725646972656
2022-12-27,545400,177.3000030517578,178.25,176.61000061035156,177.2899932861328,172.84457397460938
2022-12-23,385200,174.99000549316406,176.58999633789062,174.07000732421875,176.57000732421875,172.1426544189453
2022-12-22,615600,176.72999572753906,176.88999938964844,173.4499969482422,174.99000549316406,170.60227966308594
2022-12-21,494300,176.60000610351562,178.5800018310547,175.89999389648438,177.9600067138672,173.49778747558594
2022-12-20,712100,176.11000061035156,176.92999267578125,175.19000244140625,175.6300048828125,171.22622680664062
2022-12-19,604800,177.13999938964844,177.83999633789062,174.88999938964844,175.8699951171875,171.460205078125
2022-12-16,1663600,177.0399932861328,178.0800018310547,174.64999389648438,176.80999755859375,172.3766326904297
2022-12-15,893800,177.92999267578125,179.13999938964844,176.94000244140625,178.75999450683594,174.27772521972656
2022-12-14,851300,178.39999389648438,180.9600067138672,177.5500030517578,179.0800018310547,174.58970642089844
2022-12-13,1398200,184.8000030517578,184.8000030517578,177.14999389648438,178.0500030517578,173.58554077148438
2022-12-12,1116900,178.42999267578125,182.0200042724609,177.2899932861328,182.0200042724609,177.4559783935547
2022-12-09,910400,184.5500030517578,185.7400054931641,181.94000244140625,182.259994506836,177.68997192382812
2022-12-08,971800,183.72999572753903,186.3000030517578,183.52999877929688,185.6300048828125,180.9754943847656
2022-12-07,800000,182.3999938964844,184.7400054931641,181.92999267578125,182.8600006103516,178.27493286132812
2022-12-06,951900,184.8699951171875,186.5,180.8800048828125,182.6600036621093,178.07994079589844
2022-12-05,980800,185.6499938964844,185.67999267578125,183.1999969482422,184.9199981689453,180.2832794189453
2022-12-02,864500,184.13999938964844,187.72999572753903,182.8300018310547,187.27999877929688,182.58409118652344
2022-12-01,841900,183.1199951171875,185.3999938964844,182.47000122070312,184.8999938964844,180.2637634277344
2022-11-30,1679700,180.0399932861328,183.3300018310547,178.63999938964844,183.3300018310547,177.86058044433594
2022-11-29,1212200,182.94000244140625,183.72000122070312,180.22000122070312,180.5500030517578,175.16351318359375
2022-11-28,828000,185.0500030517578,185.4900054931641,183.0399932861328,183.22999572753903,177.7635498046875
2022-11-25,404400,184.5200042724609,186.1100006103516,183.97000122070312,186.1000061035156,180.54795837402344
2022-11-23,575500,183.9600067138672,185.0,183.6999969482422,183.9199981689453,178.4329833984375
2022-11-22,722300,183.5599975585937,184.8800048828125,182.63999938964844,183.9900054931641,178.5009002685547
2022-11-21,621000,180.8300018310547,183.7400054931641,180.1999969482422,182.2899932861328,176.8516082763672
2022-11-18,786000,181.3000030517578,181.88999938964844,179.02000427246094,180.67999267578125,175.2896270751953
2022-11-17,883900,178.6999969482422,179.5,176.5500030517578,179.39999389648438,174.04782104492188
2022-11-16,937400,178.32000732421875,182.8500061035156,177.16000366210938,179.89999389648438,174.53292846679688
2022-11-15,921200,181.2700042724609,182.08999633789065,178.5,181.42999267578125,176.0172576904297
2022-11-14,884600,177.77000427246094,182.1600036621093,177.41000366210938,179.77000427246094,174.4068145751953
2022-11-11,1163000,182.57000732421875,183.47999572753903,177.22999572753906,177.9600067138672,172.65078735351562
2022-11-10,1092700,182.7100067138672,183.0,180.32000732421875,182.1999969482422,176.76429748535156
2022-11-09,978000,180.07000732421875,181.3500061035156,177.7899932861328,178.3800048828125,173.05825805664062
2022-11-08,692800,180.6499938964844,182.22999572753903,178.69000244140625,180.57000732421875,175.18292236328125
2022-11-07,680500,178.36000061035156,180.1600036621093,177.85000610351562,180.02000427246094,174.6493377685547
2022-11-04,599600,179.0399932861328,179.74000549316406,176.02999877929688,178.1999969482422,172.8836212158203
2022-11-03,802200,173.82000732421875,177.8000030517578,173.27999877929688,177.0500030517578,171.7679443359375
2022-11-02,1101900,178.6999969482422,179.07000732421875,175.07000732421875,175.07000732421875,169.84703063964844
2022-11-01,822500,178.4199981689453,179.97000122070312,176.4600067138672,179.25,173.90231323242188
